url,taste,roast,origin
https://beanbox.com/141,Citrus,Medium,
https://beanbox.com/141,Hazelnut,Medium,
https://beanbox.com/141,Molasses,Medium,
https://beanbox.com/142,Almond,Medium,Brazilian
https://beanbox.com/142,Cinnamon,Medium,Brazilian
https://beanbox.com/142,Lemon,Medium,Brazilian
https://beanbox.com/143,Black Currant,Medium,Sumatran
https://beanbox.com/143,Hazelnut,Medium,Sumatran
https://beanbox.com/144,Chocolate,Medium,Panama
https://beanbox.com/144,Marshmallow,Medium,Panama
https://beanbox.com/144,Orange,Medium,Panama
https://beanbox.com/145,Brown Sugar,Light,Kenyan
https://beanbox.com/145,Fig,Light,Kenyan
https://beanbox.com/145,Plum,Light,Kenyan
https://beanbox.com/146,Cinnamon,Light,Costa Rican
https://beanbox.com/146,Ginger,Light,Costa Rican
https://beanbox.com/146,Peach,Light,Costa Rican
https://beanbox.com/148,Cherry,,
https://beanbox.com/148,Hazelnut,,
https://beanbox.com/149,Fruit,Light,Kenyan
https://beanbox.com/149,Tomato,Light,Kenyan
https://beanbox.com/152,Citrus,,
https://beanbox.com/152,Cocoa,,
https://beanbox.com/153,Floral,Light,Panama
https://beanbox.com/153,Fruit,Light,Panama
https://beanbox.com/153,Lavender,Light,Panama
https://beanbox.com/154,Apple,Light,Guatemalan
https://beanbox.com/154,Caramel,Light,Guatemalan
https://beanbox.com/154,Chocolate,Light,Guatemalan
https://beanbox.com/155,Cherry,Medium,Guatemalan
https://beanbox.com/155,Chocolate,Medium,Guatemalan
https://beanbox.com/156,Caramel,Light,El Salvadoran
https://beanbox.com/156,Lime,Light,El Salvadoran
https://beanbox.com/156,Nutty,Light,El Salvadoran
https://beanbox.com/157,Brownie,,Colombian
https://beanbox.com/157,Chocolate,,Colombian
https://beanbox.com/157,Fruit,,Colombian
https://beanbox.com/158,Almond,Medium,Guatemalan
https://beanbox.com/158,Caramel,Medium,Guatemalan
https://beanbox.com/158,Cherry,Medium,Guatemalan
https://beanbox.com/160,Chocolate,Light,Colombian
https://beanbox.com/160,Fruit,Light,Colombian
https://beanbox.com/160,Honey,Light,Colombian
https://beanbox.com/162,Chocolate,Dark,
https://beanbox.com/163,Fruit,Light,
https://beanbox.com/163,Nutty,Light,
https://beanbox.com/164,Chocolate,Dark,
https://beanbox.com/165,Cedar,,
https://beanbox.com/165,Spice,,
https://beanbox.com/167,Caramel,Dark,
https://beanbox.com/167,Chocolate,Dark,
https://beanbox.com/167,Spice,Dark,
https://beanbox.com/168,Cedar,Dark,
https://beanbox.com/168,Spice,Dark,
https://beanbox.com/169,Fruit,Light,Costa Rican
https://beanbox.com/169,Peach,Light,Costa Rican
https://beanbox.com/172,Black Cherry,Medium,Kenyan
https://beanbox.com/172,Currant,Medium,Kenyan
https://beanbox.com/172,Malt,Medium,Kenyan
https://beanbox.com/173,Fruit,Light,Guatemalan
https://beanbox.com/173,Marshmallow,Light,Guatemalan
https://beanbox.com/174,Almond,Light,Panama
https://beanbox.com/174,Fruit,Light,Panama
https://beanbox.com/174,Nutmeg,Light,Panama
https://beanbox.com/175,Caramel,Light,Kenyan
https://beanbox.com/175,Fig,Light,Kenyan
https://beanbox.com/175,Fruit,Light,Kenyan
https://beanbox.com/176,Cocoa,Medium,Congo
https://beanbox.com/176,Kumquat,Medium,Congo
https://beanbox.com/176,Plum,Medium,Congo
https://beanbox.com/177,Floral,Medium,Ethiopian
https://beanbox.com/177,Graham Cracker,Medium,Ethiopian
https://beanbox.com/177,Honey,Medium,Ethiopian
https://beanbox.com/178,Citrus,Light,Ethiopian
https://beanbox.com/178,Fruit,Light,Ethiopian
https://beanbox.com/178,Peach,Light,Ethiopian
https://beanbox.com/179,Apricot,Light,Nicaraguan
https://beanbox.com/179,Citrus,Light,Nicaraguan
https://beanbox.com/179,Cola,Light,Nicaraguan
https://beanbox.com/181,Caramel,,
https://beanbox.com/181,Citrus,,
https://beanbox.com/181,Malt,,
https://beanbox.com/182,Raspberry,Light,
https://beanbox.com/182,Strawberry,Light,
https://beanbox.com/183,Chestnut,Dark,Honduran
https://beanbox.com/183,Molasses,Dark,Honduran
https://beanbox.com/183,Nutty,Dark,Honduran
https://beanbox.com/184,Chocolate,Light,
https://beanbox.com/184,Fig,Light,
https://beanbox.com/184,Raisin,Light,
https://beanbox.com/185,Apple,Medium,
https://beanbox.com/185,Cherry,Medium,
https://beanbox.com/185,Chocolate,Medium,
https://beanbox.com/186,Nougat,Light,
https://beanbox.com/186,Peach,Light,
https://beanbox.com/186,Vanilla,Light,
https://beanbox.com/187,Apricot,Light,Mexican
https://beanbox.com/187,Chocolate,Light,Mexican
https://beanbox.com/187,Fruit,Light,Mexican
https://beanbox.com/188,Apple,,Mexican
https://beanbox.com/188,Cocoa,,Mexican
https://beanbox.com/188,Malt,,Mexican
https://beanbox.com/189,Chocolate,,Honduran
https://beanbox.com/189,Citrus,,Honduran
https://beanbox.com/189,Cocoa,,Honduran
https://beanbox.com/190,Chocolate,Light,Colombian
https://beanbox.com/190,Vanilla,Light,Colombian
https://beanbox.com/192,Fruit,Light,Ethiopian
https://beanbox.com/192,Peach,Light,Ethiopian
https://beanbox.com/192,Strawberry,Light,Ethiopian
https://beanbox.com/193,Floral,Light,Kenyan
https://beanbox.com/193,Fruit,Light,Kenyan
https://beanbox.com/193,Strawberry,Light,Kenyan
https://beanbox.com/195,Almond,Light,
https://beanbox.com/195,Caramel,Light,
https://beanbox.com/195,Chocolate,Light,
https://beanbox.com/196,Guava,Medium,Papua New Guinea
https://beanbox.com/196,Hazelnut,Medium,Papua New Guinea
https://beanbox.com/196,Honey,Medium,Papua New Guinea
https://beanbox.com/197,Apricot,Light,Ethiopian
https://beanbox.com/197,Floral,Light,Ethiopian
https://beanbox.com/197,Fruit,Light,Ethiopian
https://beanbox.com/198,Currant,Light,Colombian
https://beanbox.com/198,Fruit,Light,Colombian
https://beanbox.com/198,Raisin,Light,Colombian
https://beanbox.com/199,Black Cherry,,Guatemalan
https://beanbox.com/199,Fruit,,Guatemalan
https://beanbox.com/199,Plum,,Guatemalan
https://beanbox.com/200,Apple,Light,Costa Rican
https://beanbox.com/200,Fruit,Light,Costa Rican
https://beanbox.com/200,Vanilla,Light,Costa Rican
https://beanbox.com/201,Cacao,Light,Brazilian
https://beanbox.com/201,Fruit,Light,Brazilian
https://beanbox.com/201,Hazelnut,Light,Brazilian
https://beanbox.com/202,Caramel,Medium,Colombian
https://beanbox.com/202,Chocolate,Medium,Colombian
https://beanbox.com/203,Dark Chocolate,Dark,
https://beanbox.com/203,Fig,Dark,
https://beanbox.com/203,Maple,Dark,
https://beanbox.com/206,Dark Chocolate,Light,Guatemalan
https://beanbox.com/206,Fruit,Light,Guatemalan
https://beanbox.com/206,Hazelnut,Light,Guatemalan
https://beanbox.com/207,Chocolate,Light,Guatemalan
https://beanbox.com/207,Cocoa,Light,Guatemalan
https://beanbox.com/207,Fruit,Light,Guatemalan
https://beanbox.com/208,Fruit,,Ethiopian
https://beanbox.com/208,Molasses,,Ethiopian
https://beanbox.com/208,Strawberry,,Ethiopian
https://beanbox.com/209,Cherry,Medium,Brazilian
https://beanbox.com/209,Melon,Medium,Brazilian
https://beanbox.com/209,Spice,Medium,Brazilian
https://beanbox.com/210,Herbal,Dark,Sumatran
https://beanbox.com/210,Spice,Dark,Sumatran
https://beanbox.com/211,Blackberry,Light,Colombian
https://beanbox.com/211,Cola,Light,Colombian
https://beanbox.com/211,Honey,Light,Colombian
https://beanbox.com/212,Blackberry,Light,Panama
https://beanbox.com/212,Fruit,Light,Panama
https://beanbox.com/212,Passion Fruit,Light,Panama
https://beanbox.com/213,Chocolate,Medium,
https://beanbox.com/213,Fruit,Medium,
https://beanbox.com/213,Spice,Medium,
https://beanbox.com/215,Apple,Light,Guatemalan
